,H1-PelletTriflic-Fl-R1,H1-PelletTriflic-Fl-R2,H1-PelletTriflic-Fl-R3,H1-SonicSupTriflic-V2-R1,H1-SonicSupTriflic-V2-R2,H1-SonicSupTriflic-V2-R3,H1-wholetriflic-R1,H1-wholetriflic-R2,H1-wholetriflic-R3
7968318,3,1,3,5,5,4,1,0,1
7971161,6,6,5,2,3,2,8,7,6
7971758,4,2,4,0,0,0,1,2,2
7973249,2,2,3,0,0,0,6,5,6
7983883,0,0,0,4,6,5,0,1,1
7985367,1,2,2,1,2,1,2,3,2
7999658,9,6,9,0,0,0,18,18,14
8018209,12,15,10,0,0,0,13,14,12
8019459,0,0,0,0,0,0,2,0,0
8028188,0,0,0,0,0,0,4,2,4
8029150,8,8,10,0,0,0,4,4,4
8030294,3,2,0,13,10,7,3,4,2
8032062,2,2,3,0,0,0,6,5,6
8033819,4,4,3,2,3,2,6,4,4
8042219,7,5,8,5,4,6,3,1,3
8043602,3,3,2,14,15,7,2,2,3
8047113,2,2,3,0,0,0,6,5,6
8047714,5,5,8,20,25,25,8,5,9
8061262,5,4,3,0,0,0,6,4,5
8061936,6,9,5,0,0,0,8,7,12
8071617,6,6,5,2,3,2,9,8,6
8074690,3,3,2,1,4,1,5,1,2
8092444,44,43,39,6,3,1,33,15,34
8134278,4,4,5,0,0,0,0,0,0
8141108,6,5,6,0,0,0,3,6,6
8144963,6,6,8,0,0,0,10,7,1
8163093,0,0,0,2,0,0,0,0,0
8163776,4,4,4,2,0,2,2,0,4
8172457,4,4,6,7,8,9,5,6,7
8172587,12,14,11,19,17,14,17,14,15
8173470,0,0,0,16,10,16,0,0,0
8187004,12,12,12,6,7,9,10,13,12
8190656,9,10,7,0,0,0,9,9,11
8195829,2,2,3,0,0,0,6,5,6
8291700,14,15,14,0,0,0,13,13,8
8291718,8,7,8,0,0,0,8,9,4
8291745,4,5,7,0,0,0,5,1,3
8305836,7,7,11,0,0,0,0,0,0
8307618,1,0,2,0,0,0,6,4,3
8401762,2,2,3,0,0,0,6,5,6
8402422,2,2,3,0,0,0,6,5,6
8454075,2,0,0,0,0,0,0,0,0
