"","H1_PelletTriflic_Fl_R1","H1_PelletTriflic_Fl_R2","H1_PelletTriflic_Fl_R3","H1_SonicSupTriflic_V2_R1","H1_SonicSupTriflic_V2_R2","H1_SonicSupTriflic_V2_R3","H1_wholetriflic_R1","H1_wholetriflic_R2","H1_wholetriflic_R3"
"56076521",4.04466311875441,4.047165701541,4.08828847076042,4.08759267366985,3.95921521198197,4.11058122741607,3.53636716115595,3.53636716115595,3.53636716115595
"56093950",3.73713882203652,3.58595447815359,3.53636716115595,4.04331604612782,4.34690499301663,3.9673699839213,3.74722024957899,3.82206430322607,3.92111803983263
"56106808",3.81275054827961,3.81446958001933,3.6530894836839,3.53636716115595,3.53636716115595,3.53636716115595,3.66175413389045,3.66050274194027,3.77080736925675
"56107656",4.18879521150523,4.047165701541,4.18171441368498,3.89788177515696,3.90720861963273,3.7937080189076,4.20959639302267,4.34173067071824,4.3576170466857
"56109778",4.40596666068936,4.3680644862327,4.35527363671885,3.84199955327724,3.85057585442994,3.7937080189076,4.30177351937556,4.15814002369993,4.30880926163685
"56120244",3.53636716115595,3.53636716115595,3.53636716115595,5.16239827350861,5.27034685756165,5.34665689515114,3.53636716115595,3.53636716115595,3.53636716115595
"56131075",3.9377535473782,3.99491623669583,4.03893772300543,4.21231694440587,4.18623461090064,3.9673699839213,3.53636716115595,3.7453039044158,3.67784820253892
"56131182",3.53636716115595,3.53636716115595,3.53636716115595,4.36674767735495,4.70343372268438,4.51366303234197,3.53636716115595,3.53636716115595,3.53636716115595
"56137811",3.99262013277396,4.047165701541,3.9329686128116,5.44817908293344,5.31962877846033,5.14026882583301,3.53636716115595,3.53636716115595,3.53636716115595
"56143180",3.87859529103142,3.73864299363903,3.73369731670766,3.94908945436606,3.95921521198197,3.7937080189076,4.11260307561654,3.7453039044158,4.04432505426388
"56148523",3.87859529103142,3.93984296783162,3.87421786996274,3.53636716115595,3.53636716115595,3.53636716115595,3.89136152227787,3.88893982300725,4.04432505426388
"56163013",3.53636716115595,3.53636716115595,3.53636716115595,3.53636716115595,3.53636716115595,3.53636716115595,4.34646796741631,4.38533458980872,3.77080736925675
"56171588",3.53636716115595,3.53636716115595,3.53636716115595,3.63798574273907,4.05519653128713,4.06477438079124,3.74722024957899,3.88893982300725,3.67784820253892
"56171939",3.53636716115595,3.53636716115595,3.53636716115595,4.21231694440587,4.18623461090064,4.11058122741607,3.53636716115595,3.53636716115595,3.53636716115595
"56179640",3.73713882203652,3.99491623669583,3.80880976029009,3.53636716115595,3.53636716115595,3.53636716115595,3.95174980122194,3.88893982300725,3.92111803983263
"56186315",4.56569078685438,4.32530853219889,4.43728190198214,3.53636716115595,3.64186431591923,3.64504802010064,4.39031522905932,4.59137077594265,4.4522337744852
"56195477",4.14239812400317,4.14529513173737,4.03893772300543,3.53636716115595,3.53636716115595,3.53636716115595,4.06145059634789,4.20563317524412,4.10105823786961
