,BS_sonic_1,BS_sonic_2,BS_sonic_3,BS_triflic_1,BS_triflic_2,BS_triflic_3,Jurkat_sonic_1,Jurkat_sonic_2,Jurkat_sonic_3,Jurkat_triflic_1,Jurkat_triflic_2,Jurkat_triflic_3,PA_pellet_1,PA_pellet_2,PA_pellet_3,PA_sonic_1,PA_sonic_2,PA_sonic_3,PA_triflic_1,PA_triflic_2,PA_triflic_3
Q9HWF2,,,,,,,,,,,,,27.0,10.0,10.0,9.0,13.0,26.0,49.0,14.0,64.0
Q9HWF3,,,,,,,,,,,,,8.0,3.0,6.0,9.0,3.0,,8.0,,11.0
Q9HWF4,,,,,,,,,,,,,15.0,9.0,19.0,25.0,13.0,5.0,5.0,21.0,25.0
Q9HWF5,,,,,,,,,,,,,14.0,8.0,4.0,,4.0,,11.0,20.0,22.0
Q9HWF7,,,,,,,,,,,,,3.0,4.0,,13.0,6.0,8.0,8.0,24.0,9.0
Q9HWF8,,,,,,,,,,,,,11.0,3.0,18.0,143.0,179.0,,9.0,135.0,16.0
Q9HWF9,,,,,,,,,,,,,72.0,54.0,59.0,53.0,62.0,30.0,38.0,71.0,62.0
Q9HWG0,,,,,,,,,,,,,5.0,5.0,2.0,18.0,9.0,,2.0,3.0,6.0
Q9HWG1,,,,,,,,,,,,,6.0,11.0,6.0,,,,,,
Q9HWG9,,,,,,,,,,,,,,,,5.0,,,3.0,10.0,3.0
Q9HWH3,,,,,,,,,,,,,,,2.0,,,,,,
Q9HWH4,,,,,,,,,,,,,,,,,,,,,3.0
Q9HWH5,,,,,,,,,,,,,4.0,2.0,,,,,,,
Q9HWH7,,,,,,,,,,,,,,,,,7.0,,5.0,3.0,3.0
Q9HWH9,,,,,,,,,,,,,,,,,,,8.0,6.0,7.0
Q9HWI0,,,,,,,,,,,,,,,,,2.0,,3.0,3.0,
Q9HWI1,,,,,,,,,,,,,,,,,,,3.0,2.0,
Q9HWI2,,,,,,,,,,,,,8.0,5.0,6.0,15.0,3.0,12.0,3.0,7.0,6.0
Q9HWI3,,,,,,,,,,,,,,,,,,,3.0,,
Q9HWJ9,,,,,,,,,,,,,,,,6.0,6.0,,,,
Q9HWK1,,,,,,,,,,,,,13.0,2.0,6.0,40.0,86.0,3.0,16.0,18.0,12.0
Q9HWK5,,,,,,,,,,,,,4.0,2.0,,4.0,,2.0,3.0,3.0,7.0
Q9HWL8,,,,,,,,,,,,,5.0,9.0,10.0,12.0,9.0,,,3.0,
Q9HWM5,,,,,,,,,,,,,,,,,,,10.0,13.0,5.0
Q9HWP3,,,,,,,,,,,,,,,,3.0,,,,,
Q9HWP6,,,,,,,,,,,,,4.0,,,,,,5.0,,7.0
Q9HWP8,,,,,,,,,,,,,25.0,12.0,6.0,5.0,2.0,,26.0,54.0,29.0
Q9HWP9,,,,,,,,,,,,,3.0,3.0,6.0,15.0,6.0,4.0,12.0,9.0,6.0
Q9HWQ0,,,,,,,,,,,,,48.0,38.0,41.0,19.0,11.0,10.0,7.0,15.0,14.0
Q9HWQ1,,,,,,,,,,,,,8.0,13.0,6.0,25.0,12.0,3.0,2.0,13.0,13.0
Q9HWQ2,,,,,,,,,,,,,,,2.0,15.0,19.0,15.0,10.0,10.0,33.0
Q9HWQ8,,,,,,,,,,,,,,,,6.0,5.0,2.0,,,
Q9HWR5,,,,,,,,,,,,,5.0,5.0,,16.0,16.0,,,3.0,2.0
Q9HWR8,,,,,,,,,,,,,,4.0,9.0,2.0,,,,,
Q9HWU9,,,,,,,,,,,,,,2.0,,2.0,3.0,,3.0,30.0,3.0
Q9HWV0,,,,,,,,,,,,,8.0,6.0,10.0,18.0,10.0,4.0,8.0,8.0,17.0
Q9HWV3,,,,,,,,,,,,,,,,,,,,2.0,
Q9HWW0,,,,,,,,,,,,,,,,2.0,,,,,
Q9HWW1,,,,,,,,,,,,,3170.0,2952.0,2262.0,49.0,24.0,25.0,1224.0,786.0,925.0
Q9HWW4,,,,,,,,,,,,,,,,,,,5.0,4.0,
Q9HWW7,,,,,,,,,,,,,27.0,9.0,10.0,24.0,27.0,13.0,15.0,7.0,23.0
Q9HWX0,,,,,,,,,,,,,5.0,,,,,,,4.0,4.0
Q9HWX1,,,,,,,,,,,,,,,,3.0,4.0,,,,2.0
Q9HWX2,,,,,,,,,,,,,,,,11.0,3.0,2.0,,,
Q9HWX3,,,,,,,,,,,,,,,,3.0,6.0,,,,
Q9HWX4,,,,,,,,,,,,,9.0,16.0,11.0,66.0,101.0,12.0,25.0,23.0,5.0
Q9HWX5,,,,,,,,,,,,,3.0,7.0,3.0,12.0,6.0,6.0,87.0,31.0,33.0
Q9HWX6,,,,,,,,,,,,,,,2.0,10.0,5.0,6.0,,,
Q9HWY1,,,,,,,,,,,,,,,,7.0,,,,,
Q9HWY4,,,,,,,,,,,,,,,2.0,5.0,6.0,,,,
Q9HWY5,,,,,,,,,,,,,,,,2.0,,3.0,3.0,,4.0
Q9HWZ2,,,,,,,,,,,,,,3.0,,,,,,,2.0
Q9HWZ5,,,,,,,,,,,,,,,3.0,5.0,2.0,,,,
Q9HWZ6,,,,,,,,,,,,,77.0,49.0,93.0,221.0,201.0,19.0,56.0,110.0,92.0
Q9HX00,,,,,,,,,,,,,,,,,2.0,,,,
Q9HX01,,,,,,,,,,,,,7.0,2.0,,7.0,9.0,7.0,6.0,6.0,13.0
Q9HX05,,,,,,,,,,,,,17.0,12.0,19.0,26.0,9.0,25.0,12.0,14.0,24.0
Q9HX07,,,,,,,,,,,,,10.0,7.0,10.0,14.0,19.0,,17.0,15.0,8.0
Q9HX08,,,,,,,,,,,,,,,,,2.0,,4.0,6.0,
Q9HX10,,,,,,,,,,,,,5.0,3.0,8.0,5.0,4.0,2.0,,5.0,6.0
Q9HX11,,,,,,,,,,,,,,,2.0,,,,,,
Q9HX12,,,,,,,,,,,,,10.0,9.0,2.0,10.0,6.0,12.0,,,6.0
Q9HX15,,,,,,,,,,,,,3.0,,2.0,,,,,2.0,
Q9HX17,,,,,,,,,,,,,,,,3.0,,,,,
Q9HX20,,,,,,,,,,,,,,,2.0,6.0,13.0,,,,
Q9HX22,,,,,,,,,,,,,,,5.0,20.0,14.0,16.0,12.0,,8.0
Q9HX23,,,,,,,,,,,,,,,,,,,4.0,,
Q9HX24,,,,,,,,,,,,,,,,,,,6.0,,
Q9HX25,,,,,,,,,,,,,9.0,9.0,3.0,13.0,8.0,7.0,7.0,10.0,11.0
Q9HX28,,,,,,,,,,,,,2.0,2.0,,,,,,,2.0
Q9HX31,,,,,,,,,,,,,3.0,6.0,,,5.0,,,4.0,2.0
Q9HX32,,,,,,,,,,,,,21.0,15.0,18.0,3.0,,,,7.0,14.0
Q9HX33,,,,,,,,,,,,,7.0,3.0,7.0,27.0,31.0,15.0,5.0,14.0,14.0
Q9HX35,,,,,,,,,,,,,,2.0,,,,,,,
Q9HX36,,,,,,,,,,,,,10.0,7.0,7.0,13.0,9.0,2.0,9.0,10.0,13.0
Q9HX38,,,,,,,,,,,,,8.0,7.0,8.0,5.0,2.0,,,3.0,5.0
Q9HX39,,,,,,,,,,,,,,,,,,,2.0,2.0,3.0
Q9HX40,,,,,,,,,,,,,,3.0,,4.0,4.0,,,16.0,6.0
Q9HX41,,,,,,,,,,,,,2.0,,,,,,3.0,,2.0
Q9HX42,,,,,,,,,,,,,,3.0,2.0,,,,,,2.0
Q9HX44,,,,,,,,,,,,,7.0,7.0,,30.0,23.0,8.0,5.0,7.0,6.0
Q9HX46,,,,,,,,,,,,,4.0,5.0,,12.0,11.0,,,13.0,7.0
Q9HX48,,,,,,,,,,,,,,3.0,,,,,,,
Q9HX55,,,,,,,,,,,,,,2.0,3.0,4.0,3.0,,,,
Q9HX58,,,,,,,,,,,,,,,7.0,,,,6.0,6.0,6.0
Q9HX60,,,,,,,,,,,,,,2.0,,2.0,,,,,
Q9HX64,,,,,,,,,,,,,,3.0,3.0,2.0,4.0,4.0,14.0,37.0,
Q9HX66,,,,,,,,,,,,,,,3.0,3.0,,,2.0,,
Q9HX67,,,,,,,,,,,,,,,,,,,6.0,6.0,
Q9HX68,,,,,,,,,,,,,,,,3.0,4.0,,2.0,,
Q9HX70,,,,,,,,,,,,,,,,,,,,2.0,
Q9HX71,,,,,,,,,,,,,,,,,3.0,,6.0,3.0,
Q9HX72,,,,,,,,,,,,,,,,,,,,3.0,
Q9HX74,,,,,,,,,,,,,,,,5.0,13.0,2.0,3.0,4.0,2.0
Q9HX76,,,,,,,,,,,,,28.0,17.0,27.0,,11.0,18.0,12.0,6.0,2.0
Q9HX85,,,,,,,,,,,,,,,,,,,,2.0,3.0
Q9HX89,,,,,,,,,,,,,3.0,,,2.0,,,,,
Q9HX90,,,,,,,,,,,,,,,2.0,,,,,,
Q9HX91,,,,,,,,,,,,,10.0,8.0,7.0,38.0,26.0,17.0,,12.0,14.0
Q9HX93,,,,,,,,,,,,,,,4.0,,,,3.0,4.0,2.0
Q9HX94,,,,,,,,,,,,,4.0,6.0,4.0,16.0,19.0,8.0,,3.0,5.0
Q9HX95,,,,,,,,,,,,,,,,5.0,10.0,,3.0,,
Q9HXA0,,,,,,,,,,,,,3.0,,,6.0,4.0,2.0,,,
Q9HXA1,,,,,,,,,,,,,,,,,,2.0,5.0,4.0,6.0
Q9HXA2,,,,,,,,,,,,,,,,,,,,,3.0
Q9HXA5,,,,,,,,,,,,,,,,3.0,,,,,
Q9HXB0,,,,,,,,,,,,,7.0,3.0,9.0,7.0,13.0,11.0,4.0,10.0,5.0
Q9HXB1,,,,,,,,,,,,,,,,5.0,5.0,,,,
Q9HXB2,,,,,,,,,,,,,,3.0,,,,,2.0,2.0,
Q9HXB7,,,,,,,,,,,,,,,,4.0,3.0,,9.0,4.0,9.0
Q9HXC2,,,,,,,,,,,,,,4.0,,5.0,10.0,22.0,3.0,,
Q9HXC6,,,,,,,,,,,,,,2.0,,2.0,,3.0,2.0,3.0,3.0
Q9HXD0,,,,,,,,,,,,,,,2.0,2.0,,,,,
Q9HXD3,,,,,,,,,,,,,,,,5.0,,2.0,,2.0,2.0
Q9HXD4,,,,,,,,,,,,,4.0,2.0,2.0,,,,,,
Q9HXE4,,,,,,,,,,,,,,3.0,2.0,10.0,7.0,,3.0,8.0,7.0
Q9HXE5,,,,,,,,,,,,,,2.0,,2.0,16.0,,21.0,7.0,10.0
Q9HXE7,,,,,,,,,,,,,13.0,,24.0,17.0,6.0,18.0,13.0,37.0,13.0
Q9HXE8,,,,,,,,,,,,,,,2.0,,2.0,,5.0,2.0,2.0
Q9HXF0,,,,,,,,,,,,,,3.0,,,,,,,
Q9HXF4,,,,,,,,,,,,,,3.0,,14.0,15.0,,5.0,7.0,2.0
Q9HXF7,,,,,,,,,,,,,,,,3.0,,,4.0,7.0,
Q9HXF8,,,,,,,,,,,,,11.0,5.0,11.0,,,,,6.0,8.0
Q9HXG0,,,,,,,,,,,,,2.0,,4.0,4.0,2.0,7.0,,,5.0
Q9HXG2,,,,,,,,,,,,,4.0,2.0,4.0,7.0,7.0,4.0,4.0,13.0,
Q9HXG8,,,,,,,,,,,,,,,,26.0,21.0,10.0,,5.0,6.0
Q9HXH0,,,,,,,,,,,,,4.0,2.0,8.0,41.0,14.0,15.0,5.0,17.0,13.0
Q9HXH1,,,,,,,,,,,,,2.0,3.0,,,18.0,,,4.0,
Q9HXH4,,,,,,,,,,,,,,2.0,4.0,,,,,,3.0
Q9HXH5,,,,,,,,,,,,,,3.0,5.0,,,,,,
Q9HXH7,,,,,,,,,,,,,,3.0,,,,,,2.0,
Q9HXH8,,,,,,,,,,,,,,,,5.0,4.0,,,,4.0
Q9HXH9,,,,,,,,,,,,,,2.0,,12.0,12.0,,,9.0,3.0
Q9HXI0,,,,,,,,,,,,,16.0,25.0,20.0,,,,7.0,,
Q9HXI1,,,,,,,,,,,,,10.0,14.0,19.0,,,,,2.0,8.0
Q9HXI2,,,,,,,,,,,,,,,2.0,,,,,,2.0
Q9HXI3,,,,,,,,,,,,,6.0,4.0,3.0,2.0,,,,8.0,2.0
Q9HXI4,,,,,,,,,,,,,3.0,3.0,3.0,2.0,2.0,,,4.0,
Q9HXI5,,,,,,,,,,,,,4.0,3.0,7.0,5.0,3.0,,,4.0,7.0
Q9HXI6,,,,,,,,,,,,,7.0,5.0,15.0,4.0,,,4.0,4.0,2.0
Q9HXI7,,,,,,,,,,,,,,,,6.0,5.0,,,,
Q9HXI8,,,,,,,,,,,,,17.0,20.0,18.0,23.0,4.0,9.0,,9.0,24.0
Q9HXI9,,,,,,,,,,,,,,,,3.0,,,,,
Q9HXJ3,,,,,,,,,,,,,8.0,5.0,12.0,,,,,17.0,10.0
Q9HXJ4,,,,,,,,,,,,,4.0,6.0,,14.0,12.0,7.0,,5.0,11.0
Q9HXJ5,,,,,,,,,,,,,8.0,11.0,9.0,8.0,16.0,5.0,5.0,9.0,14.0
Q9HXJ6,,,,,,,,,,,,,4.0,3.0,6.0,,,2.0,,,4.0
Q9HXJ7,,,,,,,,,,,,,29.0,28.0,34.0,,,,10.0,15.0,4.0
Q9HXJ8,,,,,,,,,,,,,4.0,3.0,,23.0,21.0,6.0,9.0,11.0,10.0
Q9HXJ9,,,,,,,,,,,,,,,4.0,4.0,3.0,,8.0,5.0,5.0
Q9HXK0,,,,,,,,,,,,,4.0,,,4.0,,,,,
Q9HXK1,,,,,,,,,,,,,,2.0,4.0,5.0,,3.0,,6.0,16.0
Q9HXK2,,,,,,,,,,,,,,,4.0,6.0,3.0,4.0,2.0,2.0,4.0
Q9HXK5,,,,,,,,,,,,,19.0,16.0,13.0,36.0,29.0,17.0,12.0,32.0,23.0
Q9HXK8,,,,,,,,,,,,,2.0,3.0,,3.0,,,3.0,6.0,4.0
Q9HXL0,,,,,,,,,,,,,3.0,,11.0,224.0,120.0,24.0,24.0,76.0,18.0
Q9HXL6,,,,,,,,,,,,,,,,2.0,,,,,
Q9HXL7,,,,,,,,,,,,,,,,,,,,2.0,
Q9HXM2,,,,,,,,,,,,,,2.0,,,,,,,
Q9HXM5,,,,,,,,,,,,,115.0,38.0,45.0,37.0,38.0,17.0,70.0,89.0,41.0
Q9HXM6,,,,,,,,,,,,,23.0,30.0,14.0,105.0,83.0,26.0,44.0,32.0,25.0
Q9HXM7,,,,,,,,,,,,,,3.0,,,,,,,2.0
Q9HXN2,,,,,,,,,,,,,6.0,7.0,15.0,66.0,93.0,44.0,31.0,38.0,40.0
Q9HXN4,,,,,,,,,,,,,,,,2.0,,,3.0,4.0,
Q9HXN6,,,,,,,,,,,,,,,2.0,,,,,,
Q9HXN7,,,,,,,,,,,,,,,,2.0,,,,,2.0
Q9HXP1,,,,,,,,,,,,,,6.0,2.0,,,,,,3.0
Q9HXP3,,,,,,,,,,,,,8.0,8.0,11.0,9.0,22.0,2.0,,8.0,5.0
Q9HXP8,,,,,,,,,,,,,2.0,3.0,7.0,5.0,,4.0,3.0,2.0,3.0
Q9HXP9,,,,,,,,,,,,,13.0,6.0,8.0,,,22.0,10.0,,8.0
Q9HXQ2,,,,,,,,,,,,,14.0,8.0,11.0,5.0,,3.0,8.0,10.0,6.0
Q9HXQ6,,,,,,,,,,,,,,2.0,,2.0,2.0,,,,
Q9HXQ8,,,,,,,,,,,,,14.0,9.0,15.0,,,,3.0,4.0,
Q9HXQ9,,,,,,,,,,,,,,,2.0,2.0,,2.0,,2.0,2.0
Q9HXR0,,,,,,,,,,,,,,,,,,,6.0,,
Q9HXR3,,,,,,,,,,,,,7.0,4.0,9.0,,,,3.0,4.0,10.0
Q9HXR4,,,,,,,,,,,,,3.0,3.0,2.0,2.0,,,,,
Q9HXR7,,,,,,,,,,,,,,,,,,,,2.0,
Q9HXR8,,,,,,,,,,,,,12.0,4.0,2.0,25.0,20.0,4.0,8.0,16.0,18.0
Q9HXS5,,,,,,,,,,,,,7.0,4.0,4.0,,,2.0,,4.0,2.0
Q9HXS6,,,,,,,,,,,,,,,,,,,4.0,,
Q9HXS9,,,,,,,,,,,,,5.0,3.0,4.0,6.0,,3.0,,5.0,8.0
Q9HXT1,,,,,,,,,,,,,2.0,,2.0,,,,,,
Q9HXT3,,,,,,,,,,,,,3.0,,2.0,2.0,,,4.0,2.0,5.0
Q9HXT4,,,,,,,,,,,,,,,,3.0,,,,,3.0
Q9HXT7,,,,,,,,,,,,,,2.0,,,,,,,
Q9HXT9,,,,,,,,,,,,,,,,2.0,,,,,
Q9HXU0,,,,,,,,,,,,,9.0,8.0,15.0,58.0,19.0,11.0,15.0,21.0,27.0
Q9HXU1,,,,,,,,,,,,,7.0,3.0,4.0,21.0,12.0,11.0,18.0,5.0,15.0
Q9HXU4,,,,,,,,,,,,,2.0,,,6.0,2.0,,,,5.0
Q9HXU6,,,,,,,,,,,,,,,,,,,,,2.0
Q9HXU8,,,,,,,,,,,,,158.0,166.0,18.0,15.0,21.0,5.0,26.0,84.0,26.0
Q9HXV0,,,,,,,,,,,,,,,,,,,,2.0,
Q9HXV2,,,,,,,,,,,,,,,2.0,2.0,,,,,2.0
Q9HXV3,,,,,,,,,,,,,6.0,8.0,5.0,19.0,18.0,3.0,10.0,16.0,11.0
Q9HXV4,,,,,,,,,,,,,37.0,21.0,16.0,84.0,52.0,68.0,31.0,25.0,30.0
Q9HXV8,,,,,,,,,,,,,,,,4.0,,,10.0,8.0,9.0
Q9HXW0,,,,,,,,,,,,,,,,2.0,3.0,,,9.0,
Q9HXW5,,,,,,,,,,,,,,,,10.0,7.0,12.0,,,
Q9HXW6,,,,,,,,,,,,,3.0,,4.0,2.0,2.0,,5.0,40.0,
Q9HXW7,,,,,,,,,,,,,6.0,3.0,,,,,9.0,8.0,4.0
Q9HXW8,,,,,,,,,,,,,3.0,4.0,,,,,,,
Q9HXX0,,,,,,,,,,,,,,3.0,5.0,,,,,,
Q9HXX2,,,,,,,,,,,,,,,,2.0,,,,,
Q9HXX3,,,,,,,,,,,,,,,,2.0,,,,,
Q9HXX5,,,,,,,,,,,,,3.0,3.0,3.0,11.0,11.0,,3.0,9.0,4.0
Q9HXX7,,,,,,,,,,,,,,,,,,,2.0,2.0,
Q9HXX9,,,,,,,,,,,,,2.0,3.0,2.0,,,,,,
Q9HXY0,,,,,,,,,,,,,,,,4.0,,,2.0,,2.0
Q9HXY1,,,,,,,,,,,,,12.0,6.0,15.0,44.0,47.0,16.0,14.0,22.0,8.0
Q9HXY2,,,,,,,,,,,,,,,,2.0,,,,,
Q9HXY4,,,,,,,,,,,,,22.0,17.0,45.0,,,,2.0,,6.0
Q9HXY5,,,,,,,,,,,,,4.0,3.0,3.0,10.0,7.0,15.0,4.0,8.0,13.0
Q9HXY6,,,,,,,,,,,,,4.0,,,,2.0,3.0,,,4.0
Q9HXY7,,,,,,,,,,,,,,,5.0,2.0,,,4.0,4.0,6.0
Q9HXY8,,,,,,,,,,,,,2.0,4.0,5.0,,,,7.0,2.0,4.0
Q9HXZ1,,,,,,,,,,,,,,3.0,,5.0,4.0,,,,2.0
Q9HXZ2,,,,,,,,,,,,,20.0,12.0,20.0,44.0,51.0,18.0,22.0,30.0,30.0
Q9HXZ4,,,,,,,,,,,,,30.0,20.0,25.0,131.0,69.0,49.0,10.0,28.0,41.0
Q9HXZ5,,,,,,,,,,,,,24.0,15.0,27.0,25.0,46.0,43.0,28.0,25.0,23.0
Q9HY01,,,,,,,,,,,,,12.0,7.0,5.0,24.0,79.0,14.0,23.0,22.0,14.0
Q9HY02,,,,,,,,,,,,,,,2.0,13.0,25.0,5.0,9.0,9.0,7.0
Q9HY04,,,,,,,,,,,,,2.0,,,,,,,,
Q9HY05,,,,,,,,,,,,,3.0,2.0,2.0,7.0,5.0,5.0,5.0,8.0,3.0
Q9HY08,,,,,,,,,,,,,3.0,5.0,2.0,5.0,2.0,,2.0,4.0,10.0
Q9HY10,,,,,,,,,,,,,2.0,,,,,,,,
Q9HY11,,,,,,,,,,,,,12.0,16.0,20.0,22.0,37.0,9.0,,7.0,16.0
Q9HY12,,,,,,,,,,,,,14.0,8.0,8.0,18.0,24.0,34.0,29.0,41.0,25.0
Q9HY13,,,,,,,,,,,,,19.0,18.0,21.0,84.0,90.0,45.0,42.0,51.0,63.0
Q9HY14,,,,,,,,,,,,,,,,,,,3.0,,
Q9HY15,,,,,,,,,,,,,,,2.0,9.0,7.0,12.0,,4.0,7.0
Q9HY16,,,,,,,,,,,,,,,,,,,2.0,,
Q9HY22,,,,,,,,,,,,,,,,5.0,2.0,,,6.0,10.0
Q9HY24,,,,,,,,,,,,,4.0,3.0,4.0,,,2.0,2.0,,
Q9HY39,,,,,,,,,,,,,,,,,,,3.0,,
Q9HY46,,,,,,,,,,,,,,,,,,2.0,,,
Q9HY48,,,,,,,,,,,,,,,,,,,5.0,7.0,4.0
Q9HY50,,,,,,,,,,,,,5.0,3.0,,10.0,5.0,4.0,,6.0,3.0
Q9HY51,,,,,,,,,,,,,4.0,4.0,,5.0,12.0,6.0,3.0,5.0,10.0
Q9HY54,,,,,,,,,,,,,3.0,2.0,4.0,5.0,6.0,,4.0,8.0,2.0
Q9HY55,,,,,,,,,,,,,,,,,,,2.0,,
Q9HY63,,,,,,,,,,,,,,,,,4.0,,,,2.0
Q9HY72,,,,,,,,,,,,,,3.0,,7.0,,,7.0,7.0,
Q9HY73,,,,,,,,,,,,,,2.0,4.0,,,,,,
Q9HY77,,,,,,,,,,,,,21.0,11.0,9.0,10.0,,13.0,7.0,,3.0
Q9HY79,,,,,,,,,,,,,62.0,27.0,118.0,86.0,27.0,24.0,84.0,90.0,113.0
Q9HY81,,,,,,,,,,,,,442.0,578.0,83.0,1405.0,1317.0,137.0,367.0,280.0,116.0
Q9HY82,,,,,,,,,,,,,,,,5.0,,,5.0,,8.0
Q9HY84,,,,,,,,,,,,,15.0,12.0,21.0,26.0,15.0,8.0,2.0,18.0,24.0
Q9HY85,,,,,,,,,,,,,4.0,5.0,2.0,5.0,40.0,,7.0,15.0,10.0
Q9HY89,,,,,,,,,,,,,,,2.0,,,,,,
Q9HYB3,,,,,,,,,,,,,,,,,,3.0,,,
Q9HYB4,,,,,,,,,,,,,,,,3.0,,,,,
Q9HYC2,,,,,,,,,,,,,,,,2.0,,2.0,,,
Q9HYC7,,,,,,,,,,,,,12.0,12.0,7.0,16.0,13.0,16.0,17.0,21.0,29.0
Q9HYC8,,,,,,,,,,,,,4.0,3.0,22.0,39.0,27.0,29.0,7.0,18.0,28.0
Q9HYC9,,,,,,,,,,,,,,,2.0,13.0,7.0,2.0,,,10.0
Q9HYD1,,,,,,,,,,,,,12.0,7.0,4.0,9.0,8.0,,4.0,16.0,8.0
Q9HYD5,,,,,,,,,,,,,14.0,6.0,24.0,72.0,39.0,49.0,34.0,37.0,52.0
Q9HYD6,,,,,,,,,,,,,,,,8.0,4.0,,,2.0,4.0
Q9HYD7,,,,,,,,,,,,,,2.0,,5.0,,,,,
Q9HYD8,,,,,,,,,,,,,3.0,,,,,,,,
Q9HYE0,,,,,,,,,,,,,2.0,,7.0,6.0,2.0,,8.0,11.0,5.0
Q9HYE1,,,,,,,,,,,,,9.0,7.0,4.0,,,,,,
Q9HYE4,,,,,,,,,,,,,,2.0,,,,,,,
Q9HYE5,,,,,,,,,,,,,,,,,,,,,2.0
Q9HYE7,,,,,,,,,,,,,,,2.0,,,,,2.0,
Q9HYE8,,,,,,,,,,,,,3.0,,2.0,18.0,22.0,,17.0,12.0,
Q9HYF0,,,,,,,,,,,,,3.0,,3.0,4.0,,4.0,,2.0,5.0
Q9HYF1,,,,,,,,,,,,,23.0,20.0,9.0,14.0,13.0,3.0,4.0,8.0,8.0
Q9HYF3,,,,,,,,,,,,,,3.0,,8.0,3.0,3.0,3.0,3.0,5.0
Q9HYF4,,,,,,,,,,,,,12.0,21.0,12.0,,,,3.0,23.0,2.0
Q9HYG6,,,,,,,,,,,,,2.0,,5.0,4.0,4.0,11.0,2.0,28.0,2.0
Q9HYG7,,,,,,,,,,,,,,,4.0,,,,,7.0,3.0
Q9HYG8,,,,,,,,,,,,,,,,,2.0,,,,
Q9HYH1,,,,,,,,,,,,,12.0,10.0,7.0,18.0,15.0,6.0,2.0,6.0,10.0
Q9HYH5,,,,,,,,,,,,,,,,7.0,5.0,9.0,,6.0,4.0
Q9HYH8,,,,,,,,,,,,,5.0,3.0,,,,,,,2.0
Q9HYH9,,,,,,,,,,,,,5.0,3.0,2.0,6.0,3.0,,,4.0,8.0
Q9HYI2,,,,,,,,,,,,,,,,,,,3.0,,
Q9HYI4,,,,,,,,,,,,,,,,3.0,,,,2.0,
Q9HYI6,,,,,,,,,,,,,,,,,,,11.0,5.0,
Q9HYI7,,,,,,,,,,,,,2.0,2.0,,13.0,11.0,,3.0,2.0,2.0
Q9HYI8,,,,,,,,,,,,,3.0,3.0,3.0,4.0,,,,,
Q9HYI9,,,,,,,,,,,,,,2.0,2.0,4.0,,,4.0,2.0,7.0
Q9HYJ0,,,,,,,,,,,,,,2.0,5.0,5.0,7.0,4.0,,3.0,2.0
Q9HYJ1,,,,,,,,,,,,,,,,2.0,,,,,
Q9HYJ3,,,,,,,,,,,,,2.0,,2.0,,,,,,
Q9HYK2,,,,,,,,,,,,,5.0,,3.0,,,,,,
Q9HYK7,,,,,,,,,,,,,13.0,9.0,7.0,43.0,53.0,29.0,27.0,70.0,43.0
Q9HYK8,,,,,,,,,,,,,5.0,5.0,2.0,,,,,,
Q9HYL2,,,,,,,,,,,,,10.0,9.0,13.0,32.0,52.0,10.0,15.0,17.0,18.0
Q9HYM8,,,,,,,,,,,,,,,,,,,,,3.0
Q9HYN9,,,,,,,,,,,,,,,,2.0,,,,,
Q9HYP0,,,,,,,,,,,,,3.0,4.0,4.0,4.0,3.0,,3.0,8.0,7.0
Q9HYP2,,,,,,,,,,,,,,,,2.0,,,,2.0,
Q9HYP3,,,,,,,,,,,,,,,4.0,3.0,,,,,6.0
Q9HYP7,,,,,,,,,,,,,21.0,11.0,13.0,10.0,2.0,5.0,14.0,7.0,17.0
Q9HYP8,,,,,,,,,,,,,7.0,8.0,,3.0,,,3.0,,5.0
Q9HYQ1,,,,,,,,,,,,,,,,,,,,,2.0
Q9HYQ4,,,,,,,,,,,,,3.0,,,7.0,,,,7.0,9.0
Q9HYQ5,,,,,,,,,,,,,,,,2.0,,,,,
Q9HYQ8,,,,,,,,,,,,,3.0,2.0,5.0,6.0,,2.0,18.0,4.0,7.0
Q9HYQ9,,,,,,,,,,,,,2.0,,,,,,,,
Q9HYR1,,,,,,,,,,,,,,,7.0,22.0,13.0,19.0,3.0,5.0,7.0
Q9HYR2,,,,,,,,,,,,,,,,19.0,15.0,8.0,6.0,4.0,15.0
Q9HYR3,,,,,,,,,,,,,16.0,10.0,16.0,37.0,17.0,13.0,,9.0,24.0
Q9HYR4,,,,,,,,,,,,,4.0,,4.0,28.0,11.0,4.0,4.0,7.0,5.0
Q9HYR5,,,,,,,,,,,,,22.0,13.0,14.0,7.0,,,25.0,34.0,32.0
Q9HYR6,,,,,,,,,,,,,6.0,,6.0,20.0,10.0,8.0,,5.0,
Q9HYR7,,,,,,,,,,,,,12.0,6.0,14.0,10.0,13.0,3.0,4.0,11.0,13.0
Q9HYR8,,,,,,,,,,,,,55.0,40.0,53.0,88.0,68.0,48.0,51.0,64.0,85.0
Q9HYR9,,,,,,,,,,,,,9.0,12.0,14.0,47.0,16.0,26.0,26.0,62.0,18.0
Q9HYS7,,,,,,,,,,,,,2.0,,,,,,,,
Q9HYT0,,,,,,,,,,,,,,,2.0,,,,,,
Q9HYT1,,,,,,,,,,,,,3.0,3.0,,26.0,18.0,21.0,9.0,14.0,17.0
Q9HYT2,,,,,,,,,,,,,,,,,2.0,,,,
Q9HYT5,,,,,,,,,,,,,64.0,47.0,138.0,54.0,44.0,77.0,57.0,125.0,146.0
