,BS_sonic_1,BS_sonic_2,BS_sonic_3,BS_triflic_1,BS_triflic_2,BS_triflic_3,Jurkat_sonic_1,Jurkat_sonic_2,Jurkat_sonic_3,Jurkat_triflic_1,Jurkat_triflic_2,Jurkat_triflic_3,PA_pellet_1,PA_pellet_2,PA_pellet_3,PA_sonic_1,PA_sonic_2,PA_sonic_3,PA_triflic_1,PA_triflic_2,PA_triflic_3
B5ME19,,,,,,,7.0,,,6.0,,,,,,,,,,,
B7Z4C8,,,,,,,2.0,,,,,3.0,,,,,,,,,
B7Z4K9,,,,,,,60.0,6.0,94.0,,5.0,,,,,,,,,,
B7Z4L4,,,,,,,3.0,11.0,11.0,6.0,3.0,,,,,,,,,,
B7Z645,,,,,,,,3.0,,,,2.0,,,,,,,,,
B7Z6Z4,,,,,,,2.0,,4.0,6.0,5.0,12.0,,,,,,,,,
B7Z982,,,,,,,3.0,,,,,,,,,,,,,,
B7Z9C2,,,,,,,61.0,,100.0,,,9.0,,,,,,,,,
B7ZAR1,,,,,,,,,,13.0,30.0,,,,,,,,,,
B7ZBH1,,,,,,,15.0,,,,,2.0,,,,,,,,,
B7ZBK4,,,,,,,6.0,,,,,,,,,,,,,,
B7ZKW8,,,,,,,,,4.0,,,,,,,,,,,,
B7ZLQ5,,,,,,,,,,11.0,5.0,3.0,,,,,,,,,
B7ZM99,,,,,,,9.0,,,2.0,,2.0,,,,,,,,,
B8ZZ54,,,,,,,,2.0,13.0,,2.0,3.0,,,,,,,,,
B8ZZ74,,,,,,,,,7.0,,2.0,,,,,,,,,,
B8ZZE2,,,,,,,,,4.0,,,,,,,,,,,,
B8ZZJ2,,,,,,,234.0,20.0,132.0,,59.0,62.0,,,,,,,,,
B8ZZL6,,,,,,,,,3.0,,,,,,,,,,,,
B8ZZL8,,,,,,,,,,,,10.0,,,,,,,,,
B8ZZN6,,,,,,,,2.0,,,,,,,,,,,,,
B8ZZU9,,,,,,,2.0,,,,,,,,,,,,,,
B8ZZZ0,,,,,,,,,6.0,,,,,,,,,,,,
B9A018,,,,,,,,,2.0,,,,,,,,,,,,
B9A041,,,,,,,,,3.0,,,,,,,,,,,,
B9A062,,,,,,,2.0,,2.0,,,,,,,,,,,,
B9A067,,,,,,,12.0,,,,2.0,,,,,,,,,,
B9ZVP7,,,,,,,,,2.0,,,2.0,,,,,,,,,
C0H3V2,4.0,7.0,5.0,,3.0,4.0,,,,,,,,,,,,,,,
C0H3V3,6.0,6.0,9.0,,,,,,,,,,,,,,,,,,
C0H3X4,4.0,3.0,7.0,,,,,,,,,,,,,,,,,,
C0H3Y1,,,,2.0,,4.0,,,,,,,,,,,,,,,
C0H410,6.0,6.0,4.0,,,,,,,,,,,,,,,,,,
C0SP85,3.0,4.0,3.0,9.0,13.0,39.0,,,,,,,,,,,,,,,
C0SP86,,,,,4.0,7.0,,,,,,,,,,,,,,,
C0SP93,10.0,13.0,11.0,13.0,32.0,32.0,,,,,,,,,,,,,,,
C0SP94,,,2.0,8.0,3.0,10.0,,,,,,,,,,,,,,,
C0SP95,3.0,2.0,3.0,,,3.0,,,,,,,,,,,,,,,
C0SP98,22.0,12.0,20.0,,,,,,,,,,,,,,,,,,
C0SPA5,3.0,,2.0,,,,,,,,,,,,,,,,,,
C0SPA7,,,,2.0,5.0,8.0,,,,,,,,,,,,,,,
C0SPB0,,,,,3.0,11.0,,,,,,,,,,,,,,,
C0SPB1,30.0,25.0,12.0,8.0,2.0,3.0,,,,,,,,,,,,,,,
C0SPB4,,,,,,6.0,,,,,,,,,,,,,,,
C0SPC1,,,,,2.0,,,,,,,,,,,,,,,,
C0SPC3,7.0,6.0,8.0,,,,,,,,,,,,,,,,,,
C9IYT0,,,,,,,7.0,,,,4.0,,,,,,,,,,
C9IZ41,,,,,,,8.0,,2.0,,,,,,,,,,,,
C9IZ76,,,,,,,5.0,,,,,,,,,,,,,,
C9IZA5,,,,,,,,,4.0,,,,,,,,,,,,
C9IZE1,,,,,,,,,,3.0,2.0,3.0,,,,,,,,,
C9IZH1,,,,,,,,,,2.0,3.0,,,,,,,,,,
C9IZL7,,,,,,,35.0,,58.0,13.0,24.0,15.0,,,,,,,,,
C9J081,,,,,,,,,,2.0,,,,,,,,,,,
C9J0D1,,,,,,,79.0,,191.0,,48.0,44.0,,,,,,,,,
C9J0S9,,,,,,,,214.0,15.0,4.0,10.0,33.0,,,,,,,,,
C9J165,,,,,,,5.0,,5.0,,,,,,,,,,,,
C9J2C0,,,,,,,49.0,285.0,156.0,84.0,53.0,108.0,,,,,,,,,
