"","PA_sonic_1","PA_sonic_2","PA_sonic_3","PA_triflic_1","PA_triflic_2","PA_triflic_3"
"Q9HXI4",1.31372336404602,1.7747149747861,0,0,3.73379519914578,0
"Q9HXI5",3.28430841011504,2.66207246217914,0,0,3.73379519914578,6.60625286171045
"Q9HXI6",2.62744672809203,0,0,5.37060525331921,3.73379519914578,1.88750081763156
"Q9HXI7",3.94117009213805,4.43678743696524,0,0,0,0
"Q9HXI8",15.1078186865292,3.54942994957219,11.8911913463609,0,8.401039198078,22.6500098115787
"Q9HXI9",1.97058504606902,0,0,0,0,0
"Q9HXJ3",0,0,0,0,15.8686295963696,9.43750408815779
"Q9HXJ4",9.19606354832212,10.6482898487166,9.24870438050293,0,4.66724399893222,10.3812544969736
"Q9HXJ5",5.25489345618407,14.1977197982888,6.60621741464495,6.71325656664902,8.401039198078,13.2125057234209
"Q9HXJ6",0,0,2.64248696585798,0,0,3.77500163526312
"Q9HXJ7",0,0,0,13.426513133298,14.0017319967967,3.77500163526312
"Q9HXJ8",15.1078186865292,18.634507235254,7.92746089757394,12.0838618199682,10.2679367976509,9.43750408815779
"Q9HXJ9",2.62744672809203,2.66207246217914,0,10.7412105066384,4.66724399893222,4.71875204407889
"Q9HXK0",2.62744672809203,0,0,0,0,0
"Q9HXK1",3.28430841011504,0,3.96373044878697,0,5.60069279871867,15.1000065410525
"Q9HXK2",3.94117009213805,2.66207246217914,5.28497393171596,2.68530262665961,1.86689759957289,3.77500163526312
"Q9HXK5",23.6470205528283,25.7333671343984,22.4611392097928,16.1118157599576,29.8703615931662,21.7062594027629
"Q9HXK8",1.97058504606902,0,0,4.02795393998941,5.60069279871867,3.77500163526312
"Q9HXL0",147.137016773154,106.482898487166,31.7098435902958,32.2236315199153,70.9421087837698,16.987507358684
"Q9HXM5",24.3038822348513,33.7195845209358,22.4611392097928,93.9855919330862,83.0769431809936,38.6937667614469
"Q9HXM6",68.9704766124159,73.650671453623,34.3523305561537,59.0766577865113,29.8703615931662,23.5937602203945
"Q9HXN2",43.3528710135185,82.5242463275535,58.1347132488756,41.6221907132239,35.4710543918849,37.7500163526311
"Q9HXN4",1.31372336404602,0,0,4.02795393998941,3.73379519914578,0
"Q9HXN7",1.31372336404602,0,0,0,0,1.88750081763156
"Q9HXP1",0,0,0,0,0,2.83125122644734
"Q9HXP3",5.91175513820707,19.5218647226471,2.64248696585798,0,7.46759039829156,4.71875204407889
"Q9HXP8",3.28430841011504,0,5.28497393171596,4.02795393998941,1.86689759957289,2.83125122644734
"Q9HXP9",0,0,29.0673566244378,13.426513133298,0,7.55000327052623
"Q9HXQ2",3.28430841011504,0,3.96373044878697,10.7412105066384,9.33448799786445,5.66250245289467
"Q9HXQ6",1.31372336404602,1.7747149747861,0,0,0,0
"Q9HXQ8",0,0,0,4.02795393998941,3.73379519914578,0
"Q9HXQ9",1.31372336404602,0,2.64248696585798,0,1.86689759957289,1.88750081763156
"Q9HXR0",0,0,0,8.05590787997882,0,0
"Q9HXR3",0,0,0,4.02795393998941,3.73379519914578,9.43750408815779
"Q9HXR8",16.4215420505752,17.747149747861,5.28497393171596,10.7412105066384,14.9351807965831,16.987507358684
"Q9HXS5",0,0,2.64248696585798,0,3.73379519914578,1.88750081763156
"Q9HXS6",0,0,0,5.37060525331921,0,0
"Q9HXS9",3.94117009213805,0,3.96373044878697,0,4.66724399893222,7.55000327052623
"Q9HXT3",1.31372336404602,0,0,5.37060525331921,1.86689759957289,4.71875204407889
"Q9HXT4",1.97058504606902,0,0,0,0,2.83125122644734
"Q9HXU0",38.0979775573345,16.8597922604679,14.5336783122189,20.1397696999471,19.6024247955153,25.481261038026
"Q9HXU1",13.7940953224832,10.6482898487166,14.5336783122189,24.1677236399365,4.66724399893222,14.1562561322367
"Q9HXU4",3.94117009213805,1.7747149747861,0,0,0,4.71875204407889
"Q9HXU8",9.85292523034512,18.634507235254,6.60621741464495,34.9089341465749,78.4096991820614,24.5375106292102
"Q9HXV2",1.31372336404602,0,0,0,0,1.88750081763156
"Q9HXV3",12.4803719584372,15.9724347730749,3.96373044878697,13.426513133298,14.9351807965831,10.3812544969736
"Q9HXV4",55.1763812899327,46.1425893444385,89.8445568391713,41.6221907132239,23.3362199946611,28.3125122644734
"Q9HXV8",2.62744672809203,0,0,13.426513133298,7.46759039829156,8.49375367934201
"Q9HXW0",1.31372336404602,2.66207246217914,0,0,8.401039198078,0
"Q9HXW5",6.56861682023008,6.21150241175134,15.8549217951479,0,0,0
"Q9HXW6",1.31372336404602,1.7747149747861,0,6.71325656664902,37.3379519914578,0
"Q9HXW7",0,0,0,12.0838618199682,7.46759039829156,3.77500163526312
"Q9HXX5",7.22547850225309,9.76093236132353,0,4.02795393998941,8.401039198078,3.77500163526312
"Q9HXX7",0,0,0,2.68530262665961,1.86689759957289,0
"Q9HXY0",2.62744672809203,0,0,2.68530262665961,0,1.88750081763156
"Q9HXY1",28.9019140090124,41.7058019074733,21.1398957268638,18.7971183866172,20.5358735953018,7.55000327052623
"Q9HXY4",0,0,0,2.68530262665961,0,5.66250245289467
"Q9HXY5",6.56861682023008,6.21150241175134,19.8186522439349,5.37060525331921,7.46759039829156,12.2687553146051
"Q9HXY6",0,1.7747149747861,3.96373044878697,0,0,3.77500163526312
"Q9HXY7",1.31372336404602,0,0,5.37060525331921,3.73379519914578,5.66250245289467
"Q9HXY8",0,0,0,9.39855919330862,1.86689759957289,3.77500163526312
"Q9HXZ1",3.28430841011504,3.54942994957219,0,0,0,1.88750081763156
"Q9HXZ2",28.9019140090124,45.2552318570455,23.7823826927218,29.5383288932557,28.0034639935933,28.3125122644734
"Q9HXZ4",86.0488803450141,61.2276666301203,64.7409306635205,13.426513133298,26.1365663940205,38.6937667614469
"Q9HXZ5",16.4215420505752,40.8184444200802,56.8134697659466,37.5942367732345,23.3362199946611,21.7062594027629
"Q9HY01",15.7646803685522,70.1012415040508,18.4974087610059,30.8809802065855,20.5358735953018,13.2125057234209
"Q9HY02",8.53920186629911,22.1839371848262,6.60621741464495,12.0838618199682,8.401039198078,6.60625286171045
"Q9HY05",4.59803177416106,4.43678743696524,6.60621741464495,6.71325656664902,7.46759039829156,2.83125122644734
"Q9HY08",3.28430841011504,1.7747149747861,0,2.68530262665961,3.73379519914578,9.43750408815779
"Q9HY11",14.4509570045062,32.8322270335428,11.8911913463609,0,6.53414159850511,15.1000065410525
"Q9HY12",11.8235102764141,21.2965796974332,44.9222784195857,38.9368880865643,38.2714007912442,23.5937602203945
"Q9HY13",55.1763812899327,79.8621738653743,59.4559567318046,56.3913551598517,47.6058887891087,59.4562757553941
"Q9HY14",0,0,0,4.02795393998941,0,0
"Q9HY15",5.91175513820707,6.21150241175134,15.8549217951479,0,3.73379519914578,6.60625286171045
"Q9HY22",3.28430841011504,1.7747149747861,0,0,5.60069279871867,9.43750408815779
"Q9HY24",0,0,2.64248696585798,2.68530262665961,0,0
"Q9HY39",0,0,0,4.02795393998941,0,0
"Q9HY48",0,0,0,6.71325656664902,6.53414159850511,3.77500163526312
"Q9HY50",6.56861682023008,4.43678743696524,5.28497393171596,0,5.60069279871867,2.83125122644734
"Q9HY51",3.28430841011504,10.6482898487166,7.92746089757394,4.02795393998941,4.66724399893222,9.43750408815779
"Q9HY54",3.28430841011504,5.32414492435829,0,5.37060525331921,7.46759039829156,1.88750081763156
"Q9HY63",0,3.54942994957219,0,0,0,1.88750081763156
"Q9HY72",4.59803177416106,0,0,9.39855919330862,6.53414159850511,0
"Q9HY77",6.56861682023008,0,17.1761652780769,9.39855919330862,0,2.83125122644734
"Q9HY79",56.4901046539787,23.9586521596123,31.7098435902958,112.782710319703,84.01039198078,106.643796196183
"Q9HY81",922.890663242327,1168.64981089664,181.010357161272,492.753031992038,261.365663940205,109.47504742263
"Q9HY82",3.28430841011504,0,0,6.71325656664902,0,7.55000327052623
"Q9HY84",17.0784037325982,13.3103623108957,10.5699478634319,2.68530262665961,16.802078396156,22.6500098115787
"Q9HY85",3.28430841011504,35.4942994957219,0,9.39855919330862,14.0017319967967,9.43750408815779
"Q9HYB3",0,0,3.96373044878697,0,0,0
"Q9HYB4",1.97058504606902,0,0,0,0,0
"Q9HYC2",1.31372336404602,0,2.64248696585798,0,0,0
